Player,Squad,Pos,Age,Gls,Ast,Min,MP,Sh,SoT,xG,xAG,Cmp,League,Country,Source,Source_URL,position,age,weekly_gross,annual_gross,currency
Moisés Caicedo,Chelsea,MF,24-044,3,1,982,12,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,23,150000.0,7800000.0,£
Tom Cairney,Fulham,MF,34-330,0,0,206,8,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,34,35000.0,1820000.0,£
Riccardo Calafiori,Arsenal,DF,23-211,1,2,"1,165",15,,,2.5,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,23,120000.0,6240000.0,£
Dominic Calvert-Lewin,Leeds United,FW,28-275,5,0,944,14,,,5.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,28,100000.0,5200000.0,£
Jaydee Canvot,Crystal Palace,DF,19-140,0,0,116,5,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,19,25000.0,1300000.0,£
Fabio Carvalho,Brentford,"FW,MF",23-108,1,0,102,6,,,0.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Casemiro,Manchester Utd,MF,33-296,4,1,988,15,,,2.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,33,350000.0,18200000.0,£
Matty Cash,Aston Villa,DF,28-131,3,1,"1,411",16,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,28,100000.0,5200000.0,£
Timothy Castagne,Fulham,"DF,FW",30-011,0,0,540,12,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,29,65000.0,3380000.0,£
Trevoh Chalobah,Chelsea,DF,26-164,3,0,"1,290",15,,,0.9,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,26,50000.0,2600000.0,£
